"Tabela 5932 - Taxa de variação do índice de volume trimestral"
"Variável - Taxa trimestral (em relação ao mesmo período do ano anterior) (%)"
"Trimestre","","Setores e subsetores",""
"4º trimestre 2006","Brasil","Atividades imobiliárias","5.1"
"4º trimestre 2006","Brasil","Outras atividades de serviços","4.1"
"4º trimestre 2006","Brasil","Administração, saúde e educação públicas e seguridade social","4.7"
"4º trimestre 2006","Brasil","Valor adicionado a preços básicos","4.9"
"4º trimestre 2006","Brasil","Impostos líquidos sobre produtos","4.0"
"4º trimestre 2006","Brasil","PIB a preços de mercado","4.8"
"1º trimestre 2007","Brasil","Agropecuária - total","3.9"
"1º trimestre 2007","Brasil","Indústria - total","4.1"
"1º trimestre 2007","Brasil","Indústrias extrativas","4.7"
"1º trimestre 2007","Brasil","Indústrias de transformação","3.1"
"1º trimestre 2007","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","6.1"
"1º trimestre 2007","Brasil","Construção","5.8"
"1º trimestre 2007","Brasil","Serviços - total","5.7"
"1º trimestre 2007","Brasil","Comércio","6.9"
"1º trimestre 2007","Brasil","Transporte, armazenagem e correio","3.1"
"1º trimestre 2007","Brasil","Informação e comunicação","5.7"
"1º trimestre 2007","Brasil","Atividades financeiras, de seguros e serviços relacionados","11.6"
"1º trimestre 2007","Brasil","Atividades imobiliárias","7.1"
"1º trimestre 2007","Brasil","Outras atividades de serviços","4.8"
"1º trimestre 2007","Brasil","Administração, saúde e educação públicas e seguridade social","3.0"
"1º trimestre 2007","Brasil","Valor adicionado a preços básicos","5.1"
"1º trimestre 2007","Brasil","Impostos líquidos sobre produtos","5.7"
"1º trimestre 2007","Brasil","PIB a preços de mercado","5.2"
"2º trimestre 2007","Brasil","Agropecuária - total","0.6"
"2º trimestre 2007","Brasil","Indústria - total","8.7"
"2º trimestre 2007","Brasil","Indústrias extrativas","6.1"
"2º trimestre 2007","Brasil","Indústrias de transformação","8.5"
"2º trimestre 2007","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","8.3"
"2º trimestre 2007","Brasil","Construção","12.2"
"2º trimestre 2007","Brasil","Serviços - total","6.0"
"2º trimestre 2007","Brasil","Comércio","9.6"
"2º trimestre 2007","Brasil","Transporte, armazenagem e correio","4.9"
"2º trimestre 2007","Brasil","Informação e comunicação","6.9"
"2º trimestre 2007","Brasil","Atividades financeiras, de seguros e serviços relacionados","12.1"
"2º trimestre 2007","Brasil","Atividades imobiliárias","7.0"
"2º trimestre 2007","Brasil","Outras atividades de serviços","3.9"
"2º trimestre 2007","Brasil","Administração, saúde e educação públicas e seguridade social","2.4"
"2º trimestre 2007","Brasil","Valor adicionado a preços básicos","6.4"
"2º trimestre 2007","Brasil","Impostos líquidos sobre produtos","7.4"
"2º trimestre 2007","Brasil","PIB a preços de mercado","6.5"
"3º trimestre 2007","Brasil","Agropecuária - total","4.7"
"3º trimestre 2007","Brasil","Indústria - total","7.0"
"3º trimestre 2007","Brasil","Indústrias extrativas","1.8"
"3º trimestre 2007","Brasil","Indústrias de transformação","7.5"
"3º trimestre 2007","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","4.8"
"3º trimestre 2007","Brasil","Construção","10.4"
"3º trimestre 2007","Brasil","Serviços - total","5.4"
"3º trimestre 2007","Brasil","Comércio","8.8"
"3º trimestre 2007","Brasil","Transporte, armazenagem e correio","4.8"
"3º trimestre 2007","Brasil","Informação e comunicação","3.9"
"3º trimestre 2007","Brasil","Atividades financeiras, de seguros e serviços relacionados","13.8"
"3º trimestre 2007","Brasil","Atividades imobiliárias","5.6"
"3º trimestre 2007","Brasil","Outras atividades de serviços","2.8"
"3º trimestre 2007","Brasil","Administração, saúde e educação públicas e seguridade social","2.1"
"3º trimestre 2007","Brasil","Valor adicionado a preços básicos","5.8"
"3º trimestre 2007","Brasil","Impostos líquidos sobre produtos","6.5"
"3º trimestre 2007","Brasil","PIB a preços de mercado","5.9"
"4º trimestre 2007","Brasil","Agropecuária - total","4.2"
"4º trimestre 2007","Brasil","Indústria - total","5.0"
"4º trimestre 2007","Brasil","Indústrias extrativas","-0.6"
"4º trimestre 2007","Brasil","Indústrias de transformação","5.2"
"4º trimestre 2007","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","5.4"
"4º trimestre 2007","Brasil","Construção","8.3"
"4º trimestre 2007","Brasil","Serviços - total","6.3"
"4º trimestre 2007","Brasil","Comércio","7.7"
"4º trimestre 2007","Brasil","Transporte, armazenagem e correio","7.3"
"4º trimestre 2007","Brasil","Informação e comunicação","9.2"
"4º trimestre 2007","Brasil","Atividades financeiras, de seguros e serviços relacionados","22.8"
"4º trimestre 2007","Brasil","Atividades imobiliárias","4.4"
"4º trimestre 2007","Brasil","Outras atividades de serviços","2.8"
"4º trimestre 2007","Brasil","Administração, saúde e educação públicas e seguridade social","1.2"
"4º trimestre 2007","Brasil","Valor adicionado a preços básicos","5.9"
"4º trimestre 2007","Brasil","Impostos líquidos sobre produtos","10.8"
"4º trimestre 2007","Brasil","PIB a preços de mercado","6.6"
"1º trimestre 2008","Brasil","Agropecuária - total","4.8"
"1º trimestre 2008","Brasil","Indústria - total","7.1"
"1º trimestre 2008","Brasil","Indústrias extrativas","3.9"
