"Tabela 5932 - Taxa de variação do índice de volume trimestral"
"Variável - Taxa trimestral (em relação ao mesmo período do ano anterior) (%)"
"Trimestre","","Setores e subsetores",""
"1º trimestre 2004","Brasil","Construção","0.7"
"1º trimestre 2004","Brasil","Serviços - total","3.3"
"1º trimestre 2004","Brasil","Comércio","8.0"
"1º trimestre 2004","Brasil","Transporte, armazenagem e correio","10.0"
"1º trimestre 2004","Brasil","Informação e comunicação","1.1"
"1º trimestre 2004","Brasil","Atividades financeiras, de seguros e serviços relacionados","1.4"
"1º trimestre 2004","Brasil","Atividades imobiliárias","0.7"
"1º trimestre 2004","Brasil","Outras atividades de serviços","-1.3"
"1º trimestre 2004","Brasil","Administração, saúde e educação públicas e seguridade social","7.6"
"1º trimestre 2004","Brasil","Valor adicionado a preços básicos","4.1"
"1º trimestre 2004","Brasil","Impostos líquidos sobre produtos","2.8"
"1º trimestre 2004","Brasil","PIB a preços de mercado","3.9"
"2º trimestre 2004","Brasil","Agropecuária - total","1.0"
"2º trimestre 2004","Brasil","Indústria - total","8.2"
"2º trimestre 2004","Brasil","Indústrias extrativas","3.1"
"2º trimestre 2004","Brasil","Indústrias de transformação","10.8"
"2º trimestre 2004","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","4.7"
"2º trimestre 2004","Brasil","Construção","6.8"
"2º trimestre 2004","Brasil","Serviços - total","4.5"
"2º trimestre 2004","Brasil","Comércio","8.7"
"2º trimestre 2004","Brasil","Transporte, armazenagem e correio","8.1"
"2º trimestre 2004","Brasil","Informação e comunicação","1.9"
"2º trimestre 2004","Brasil","Atividades financeiras, de seguros e serviços relacionados","7.8"
"2º trimestre 2004","Brasil","Atividades imobiliárias","2.4"
"2º trimestre 2004","Brasil","Outras atividades de serviços","1.2"
"2º trimestre 2004","Brasil","Administração, saúde e educação públicas e seguridade social","5.2"
"2º trimestre 2004","Brasil","Valor adicionado a preços básicos","5.2"
"2º trimestre 2004","Brasil","Impostos líquidos sobre produtos","4.8"
"2º trimestre 2004","Brasil","PIB a preços de mercado","5.1"
"3º trimestre 2004","Brasil","Agropecuária - total","2.1"
"3º trimestre 2004","Brasil","Indústria - total","8.4"
"3º trimestre 2004","Brasil","Indústrias extrativas","2.6"
"3º trimestre 2004","Brasil","Indústrias de transformação","9.1"
"3º trimestre 2004","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","5.5"
"3º trimestre 2004","Brasil","Construção","11.0"
"3º trimestre 2004","Brasil","Serviços - total","4.7"
"3º trimestre 2004","Brasil","Comércio","9.9"
"3º trimestre 2004","Brasil","Transporte, armazenagem e correio","6.2"
"3º trimestre 2004","Brasil","Informação e comunicação","3.0"
"3º trimestre 2004","Brasil","Atividades financeiras, de seguros e serviços relacionados","4.6"
"3º trimestre 2004","Brasil","Atividades imobiliárias","4.4"
"3º trimestre 2004","Brasil","Outras atividades de serviços","2.3"
"3º trimestre 2004","Brasil","Administração, saúde e educação públicas e seguridade social","4.6"
"3º trimestre 2004","Brasil","Valor adicionado a preços básicos","5.5"
"3º trimestre 2004","Brasil","Impostos líquidos sobre produtos","6.1"
"3º trimestre 2004","Brasil","PIB a preços de mercado","5.6"
"4º trimestre 2004","Brasil","Agropecuária - total","2.0"
"4º trimestre 2004","Brasil","Indústria - total","8.2"
"4º trimestre 2004","Brasil","Indústrias extrativas","-0.5"
"4º trimestre 2004","Brasil","Indústrias de transformação","9.1"
"4º trimestre 2004","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","6.0"
"4º trimestre 2004","Brasil","Construção","10.7"
"4º trimestre 2004","Brasil","Serviços - total","5.0"
"4º trimestre 2004","Brasil","Comércio","9.3"
"4º trimestre 2004","Brasil","Transporte, armazenagem e correio","5.4"
"4º trimestre 2004","Brasil","Informação e comunicação","4.3"
"4º trimestre 2004","Brasil","Atividades financeiras, de seguros e serviços relacionados","3.8"
"4º trimestre 2004","Brasil","Atividades imobiliárias","5.5"
"4º trimestre 2004","Brasil","Outras atividades de serviços","3.7"
"4º trimestre 2004","Brasil","Administração, saúde e educação públicas e seguridade social","4.1"
"4º trimestre 2004","Brasil","Valor adicionado a preços básicos","5.7"
"4º trimestre 2004","Brasil","Impostos líquidos sobre produtos","6.4"
"4º trimestre 2004","Brasil","PIB a preços de mercado","5.8"
"1º trimestre 2005","Brasil","Agropecuária - total","3.2"
"1º trimestre 2005","Brasil","Indústria - total","4.2"
"1º trimestre 2005","Brasil","Indústrias extrativas","1.9"
"1º trimestre 2005","Brasil","Indústrias de transformação","4.5"
"1º trimestre 2005","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","6.6"
"1º trimestre 2005","Brasil","Construção","2.2"
"1º trimestre 2005","Brasil","Serviços - total","4.5"
"1º trimestre 2005","Brasil","Comércio","3.4"
"1º trimestre 2005","Brasil","Transporte, armazenagem e correio","5.3"
"1º trimestre 2005","Brasil","Informação e comunicação","7.6"
"1º trimestre 2005","Brasil","Atividades financeiras, de seguros e serviços relacionados","9.9"
"1º trimestre 2005","Brasil","Atividades imobiliárias","6.6"
"1º trimestre 2005","Brasil","Outras atividades de serviços","6.3"
"1º trimestre 2005","Brasil","Administração, saúde e educação públicas e seguridade social","-0.7"
"1º trimestre 2005","Brasil","Valor adicionado a preços básicos","4.2"
"1º trimestre 2005","Brasil","Impostos líquidos sobre produtos","3.9"
"1º trimestre 2005","Brasil","PIB a preços de mercado","4.2"
"2º trimestre 2005","Brasil","Agropecuária - total","2.8"
"2º trimestre 2005","Brasil","Indústria - total","4.7"
"2º trimestre 2005","Brasil","Indústrias extrativas","6.9"
"2º trimestre 2005","Brasil","Indústrias de transformação","5.4"
"2º trimestre 2005","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","4.4"
"2º trimestre 2005","Brasil","Construção","1.5"
"2º trimestre 2005","Brasil","Serviços - total","4.4"
"2º trimestre 2005","Brasil","Comércio","4.2"
"2º trimestre 2005","Brasil","Transporte, armazenagem e correio","5.1"
"2º trimestre 2005","Brasil","Informação e comunicação","7.6"
"2º trimestre 2005","Brasil","Atividades financeiras, de seguros e serviços relacionados","6.0"
"2º trimestre 2005","Brasil","Atividades imobiliárias","5.4"
"2º trimestre 2005","Brasil","Outras atividades de serviços","5.8"
"2º trimestre 2005","Brasil","Administração, saúde e educação públicas e seguridade social","0.9"
"2º trimestre 2005","Brasil","Valor adicionado a preços básicos","4.3"
"2º trimestre 2005","Brasil","Impostos líquidos sobre produtos","4.7"
"2º trimestre 2005","Brasil","PIB a preços de mercado","4.3"
"3º trimestre 2005","Brasil","Agropecuária - total","1.3"
"3º trimestre 2005","Brasil","Indústria - total","2.6"
"3º trimestre 2005","Brasil","Indústrias extrativas","6.9"
"3º trimestre 2005","Brasil","Indústrias de transformação","3.0"
"3º trimestre 2005","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","3.6"
"3º trimestre 2005","Brasil","Construção","-1.6"
"3º trimestre 2005","Brasil","Serviços - total","4.1"
"3º trimestre 2005","Brasil","Comércio","3.2"
"3º trimestre 2005","Brasil","Transporte, armazenagem e correio","4.1"
"3º trimestre 2005","Brasil","Informação e comunicação","6.9"
"3º trimestre 2005","Brasil","Atividades financeiras, de seguros e serviços relacionados","6.9"
"3º trimestre 2005","Brasil","Atividades imobiliárias","4.4"
"3º trimestre 2005","Brasil","Outras atividades de serviços","5.6"
"3º trimestre 2005","Brasil","Administração, saúde e educação públicas e seguridade social","1.1"
"3º trimestre 2005","Brasil","Valor adicionado a preços básicos","3.4"
"3º trimestre 2005","Brasil","Impostos líquidos sobre produtos","4.3"
"3º trimestre 2005","Brasil","PIB a preços de mercado","3.6"
"4º trimestre 2005","Brasil","Agropecuária - total","1.1"
"4º trimestre 2005","Brasil","Indústria - total","2.0"
"4º trimestre 2005","Brasil","Indústrias extrativas","6.8"
"4º trimestre 2005","Brasil","Indústrias de transformação","2.2"
"4º trimestre 2005","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","3.1"
"4º trimestre 2005","Brasil","Construção","-2.1"
"4º trimestre 2005","Brasil","Serviços - total","3.7"
"4º trimestre 2005","Brasil","Comércio","3.1"
"4º trimestre 2005","Brasil","Transporte, armazenagem e correio","3.6"
"4º trimestre 2005","Brasil","Informação e comunicação","5.8"
"4º trimestre 2005","Brasil","Atividades financeiras, de seguros e serviços relacionados","5.8"
"4º trimestre 2005","Brasil","Atividades imobiliárias","4.2"
"4º trimestre 2005","Brasil","Outras atividades de serviços","4.9"
"4º trimestre 2005","Brasil","Administração, saúde e educação públicas e seguridade social","1.0"
"4º trimestre 2005","Brasil","Valor adicionado a preços básicos","3.0"
"4º trimestre 2005","Brasil","Impostos líquidos sobre produtos","4.3"
"4º trimestre 2005","Brasil","PIB a preços de mercado","3.2"
"1º trimestre 2006","Brasil","Agropecuária - total","0.5"
"1º trimestre 2006","Brasil","Indústria - total","3.3"
"1º trimestre 2006","Brasil","Indústrias extrativas","13.7"
"1º trimestre 2006","Brasil","Indústrias de transformação","2.5"
"1º trimestre 2006","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.7"
"1º trimestre 2006","Brasil","Construção","0.5"
"1º trimestre 2006","Brasil","Serviços - total","4.6"
"1º trimestre 2006","Brasil","Comércio","5.7"
"1º trimestre 2006","Brasil","Transporte, armazenagem e correio","4.0"
"1º trimestre 2006","Brasil","Informação e comunicação","1.1"
"1º trimestre 2006","Brasil","Atividades financeiras, de seguros e serviços relacionados","10.4"
"1º trimestre 2006","Brasil","Atividades imobiliárias","3.3"
"1º trimestre 2006","Brasil","Outras atividades de serviços","4.4"
"1º trimestre 2006","Brasil","Administração, saúde e educação públicas e seguridade social","3.5"
"1º trimestre 2006","Brasil","Valor adicionado a preços básicos","3.8"
"1º trimestre 2006","Brasil","Impostos líquidos sobre produtos","7.2"
"1º trimestre 2006","Brasil","PIB a preços de mercado","4.3"
"2º trimestre 2006","Brasil","Agropecuária - total","0.1"
"2º trimestre 2006","Brasil","Indústria - total","0.6"
"2º trimestre 2006","Brasil","Indústrias extrativas","7.1"
"2º trimestre 2006","Brasil","Indústrias de transformação","-0.4"
"2º trimestre 2006","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.7"
"2º trimestre 2006","Brasil","Construção","-1.5"
"2º trimestre 2006","Brasil","Serviços - total","4.2"
"2º trimestre 2006","Brasil","Comércio","3.9"
"2º trimestre 2006","Brasil","Transporte, armazenagem e correio","2.3"
"2º trimestre 2006","Brasil","Informação e comunicação","-0.2"
"2º trimestre 2006","Brasil","Atividades financeiras, de seguros e serviços relacionados","11.7"
"2º trimestre 2006","Brasil","Atividades imobiliárias","3.9"
"2º trimestre 2006","Brasil","Outras atividades de serviços","3.8"
"2º trimestre 2006","Brasil","Administração, saúde e educação públicas e seguridade social","3.5"
"2º trimestre 2006","Brasil","Valor adicionado a preços básicos","2.8"
"2º trimestre 2006","Brasil","Impostos líquidos sobre produtos","6.0"
"2º trimestre 2006","Brasil","PIB a preços de mercado","3.3"
"3º trimestre 2006","Brasil","Agropecuária - total","3.4"
"3º trimestre 2006","Brasil","Indústria - total","1.3"
"3º trimestre 2006","Brasil","Indústrias extrativas","6.5"
"3º trimestre 2006","Brasil","Indústrias de transformação","0.3"
"3º trimestre 2006","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","3.7"
"3º trimestre 2006","Brasil","Construção","-0.5"
"3º trimestre 2006","Brasil","Serviços - total","4.3"
"3º trimestre 2006","Brasil","Comércio","4.2"
"3º trimestre 2006","Brasil","Transporte, armazenagem e correio","2.3"
"3º trimestre 2006","Brasil","Informação e comunicação","0.8"
"3º trimestre 2006","Brasil","Atividades financeiras, de seguros e serviços relacionados","10.0"
"3º trimestre 2006","Brasil","Atividades imobiliárias","4.5"
"3º trimestre 2006","Brasil","Outras atividades de serviços","3.7"
"3º trimestre 2006","Brasil","Administração, saúde e educação públicas e seguridade social","3.6"
"3º trimestre 2006","Brasil","Valor adicionado a preços básicos","3.3"
"3º trimestre 2006","Brasil","Impostos líquidos sobre produtos","6.0"
"3º trimestre 2006","Brasil","PIB a preços de mercado","3.7"
"4º trimestre 2006","Brasil","Agropecuária - total","4.6"
"4º trimestre 2006","Brasil","Indústria - total","2.0"
"4º trimestre 2006","Brasil","Indústrias extrativas","6.5"
"4º trimestre 2006","Brasil","Indústrias de transformação","1.2"
"4º trimestre 2006","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","4.1"
"4º trimestre 2006","Brasil","Construção","0.3"
"4º trimestre 2006","Brasil","Serviços - total","4.3"
"4º trimestre 2006","Brasil","Comércio","5.0"
"4º trimestre 2006","Brasil","Transporte, armazenagem e correio","2.5"
"4º trimestre 2006","Brasil","Informação e comunicação","0.8"
"4º trimestre 2006","Brasil","Atividades financeiras, de seguros e serviços relacionados","8.2"
"4º trimestre 2006","Brasil","Atividades imobiliárias","4.7"
"4º trimestre 2006","Brasil","Outras atividades de serviços","3.8"
"4º trimestre 2006","Brasil","Administração, saúde e educação públicas e seguridade social","3.9"
"4º trimestre 2006","Brasil","Valor adicionado a preços básicos","3.7"
"4º trimestre 2006","Brasil","Impostos líquidos sobre produtos","5.5"
"4º trimestre 2006","Brasil","PIB a preços de mercado","4.0"
"1º trimestre 2007","Brasil","Agropecuária - total","3.9"
"1º trimestre 2007","Brasil","Indústria - total","4.1"
"1º trimestre 2007","Brasil","Indústrias extrativas","4.7"
"1º trimestre 2007","Brasil","Indústrias de transformação","3.1"
"1º trimestre 2007","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","6.1"
"1º trimestre 2007","Brasil","Construção","5.8"
"1º trimestre 2007","Brasil","Serviços - total","5.7"
"1º trimestre 2007","Brasil","Comércio","6.9"
"1º trimestre 2007","Brasil","Transporte, armazenagem e correio","3.1"
"1º trimestre 2007","Brasil","Informação e comunicação","5.7"
"1º trimestre 2007","Brasil","Atividades financeiras, de seguros e serviços relacionados","11.6"
"1º trimestre 2007","Brasil","Atividades imobiliárias","7.1"
"1º trimestre 2007","Brasil","Outras atividades de serviços","4.8"
"1º trimestre 2007","Brasil","Administração, saúde e educação públicas e seguridade social","3.0"
"1º trimestre 2007","Brasil","Valor adicionado a preços básicos","5.1"
"1º trimestre 2007","Brasil","Impostos líquidos sobre produtos","5.7"
"1º trimestre 2007","Brasil","PIB a preços de mercado","5.2"
"2º trimestre 2007","Brasil","Agropecuária - total","2.2"
"2º trimestre 2007","Brasil","Indústria - total","6.5"
"2º trimestre 2007","Brasil","Indústrias extrativas","5.4"
"2º trimestre 2007","Brasil","Indústrias de transformação","5.9"
"2º trimestre 2007","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","7.2"
"2º trimestre 2007","Brasil","Construção","9.0"
"2º trimestre 2007","Brasil","Serviços - total","5.8"
"2º trimestre 2007","Brasil","Comércio","8.3"
"2º trimestre 2007","Brasil","Transporte, armazenagem e correio","4.0"
"2º trimestre 2007","Brasil","Informação e comunicação","6.3"
"2º trimestre 2007","Brasil","Atividades financeiras, de seguros e serviços relacionados","11.9"
"2º trimestre 2007","Brasil","Atividades imobiliárias","7.1"
"2º trimestre 2007","Brasil","Outras atividades de serviços","4.4"
"2º trimestre 2007","Brasil","Administração, saúde e educação públicas e seguridade social","2.7"
"2º trimestre 2007","Brasil","Valor adicionado a preços básicos","5.8"
"2º trimestre 2007","Brasil","Impostos líquidos sobre produtos","6.5"
"2º trimestre 2007","Brasil","PIB a preços de mercado","5.9"
"3º trimestre 2007","Brasil","Agropecuária - total","3.0"
"3º trimestre 2007","Brasil","Indústria - total","6.7"
"3º trimestre 2007","Brasil","Indústrias extrativas","4.2"
"3º trimestre 2007","Brasil","Indústrias de transformação","6.5"
"3º trimestre 2007","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","6.4"
"3º trimestre 2007","Brasil","Construção","9.5"
"3º trimestre 2007","Brasil","Serviços - total","5.7"
"3º trimestre 2007","Brasil","Comércio","8.5"
"3º trimestre 2007","Brasil","Transporte, armazenagem e correio","4.3"
"3º trimestre 2007","Brasil","Informação e comunicação","5.4"
"3º trimestre 2007","Brasil","Atividades financeiras, de seguros e serviços relacionados","12.5"
"3º trimestre 2007","Brasil","Atividades imobiliárias","6.6"
"3º trimestre 2007","Brasil","Outras atividades de serviços","3.8"
"3º trimestre 2007","Brasil","Administração, saúde e educação públicas e seguridade social","2.5"
"3º trimestre 2007","Brasil","Valor adicionado a preços básicos","5.8"
"3º trimestre 2007","Brasil","Impostos líquidos sobre produtos","6.5"
"3º trimestre 2007","Brasil","PIB a preços de mercado","5.9"
"4º trimestre 2007","Brasil","Agropecuária - total","3.2"
"4º trimestre 2007","Brasil","Indústria - total","6.2"
"4º trimestre 2007","Brasil","Indústrias extrativas","2.9"
"4º trimestre 2007","Brasil","Indústrias de transformação","6.1"
"4º trimestre 2007","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","6.1"
"4º trimestre 2007","Brasil","Construção","9.2"
"4º trimestre 2007","Brasil","Serviços - total","5.8"
"4º trimestre 2007","Brasil","Comércio","8.3"
"4º trimestre 2007","Brasil","Transporte, armazenagem e correio","5.1"
"4º trimestre 2007","Brasil","Informação e comunicação","6.4"
"4º trimestre 2007","Brasil","Atividades financeiras, de seguros e serviços relacionados","15.1"
"4º trimestre 2007","Brasil","Atividades imobiliárias","6.0"
"4º trimestre 2007","Brasil","Outras atividades de serviços","3.6"
"4º trimestre 2007","Brasil","Administração, saúde e educação públicas e seguridade social","2.2"
"4º trimestre 2007","Brasil","Valor adicionado a preços básicos","5.8"
"4º trimestre 2007","Brasil","Impostos líquidos sobre produtos","7.6"
"4º trimestre 2007","Brasil","PIB a preços de mercado","6.1"
"1º trimestre 2008","Brasil","Agropecuária - total","4.8"
"1º trimestre 2008","Brasil","Indústria - total","7.1"
"1º trimestre 2008","Brasil","Indústrias extrativas","3.9"
"1º trimestre 2008","Brasil","Indústrias de transformação","9.5"
"1º trimestre 2008","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","3.0"
"1º trimestre 2008","Brasil","Construção","5.0"
"1º trimestre 2008","Brasil","Serviços - total","5.3"
"1º trimestre 2008","Brasil","Comércio","7.7"
"1º trimestre 2008","Brasil","Transporte, armazenagem e correio","8.8"
"1º trimestre 2008","Brasil","Informação e comunicação","9.3"
"1º trimestre 2008","Brasil","Atividades financeiras, de seguros e serviços relacionados","17.0"
"1º trimestre 2008","Brasil","Atividades imobiliárias","2.8"
"1º trimestre 2008","Brasil","Outras atividades de serviços","3.7"
"1º trimestre 2008","Brasil","Administração, saúde e educação públicas e seguridade social","-0.4"
"1º trimestre 2008","Brasil","Valor adicionado a preços básicos","5.8"
"1º trimestre 2008","Brasil","Impostos líquidos sobre produtos","8.2"
"1º trimestre 2008","Brasil","PIB a preços de mercado","6.2"
"2º trimestre 2008","Brasil","Agropecuária - total","7.9"
"2º trimestre 2008","Brasil","Indústria - total","6.1"
"2º trimestre 2008","Brasil","Indústrias extrativas","4.5"
"2º trimestre 2008","Brasil","Indústrias de transformação","7.9"
"2º trimestre 2008","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.0"
"2º trimestre 2008","Brasil","Construção","4.4"
"2º trimestre 2008","Brasil","Serviços - total","5.5"
"2º trimestre 2008","Brasil","Comércio","7.6"
"2º trimestre 2008","Brasil","Transporte, armazenagem e correio","9.7"
"2º trimestre 2008","Brasil","Informação e comunicação","9.6"
"2º trimestre 2008","Brasil","Atividades financeiras, de seguros e serviços relacionados","16.4"
"2º trimestre 2008","Brasil","Atividades imobiliárias","2.1"
"2º trimestre 2008","Brasil","Outras atividades de serviços","4.6"
"2º trimestre 2008","Brasil","Administração, saúde e educação públicas e seguridade social","0.1"
"2º trimestre 2008","Brasil","Valor adicionado a preços básicos","5.9"
"2º trimestre 2008","Brasil","Impostos líquidos sobre produtos","8.4"
"2º trimestre 2008","Brasil","PIB a preços de mercado","6.2"
"3º trimestre 2008","Brasil","Agropecuária - total","6.9"
"3º trimestre 2008","Brasil","Indústria - total","6.4"
"3º trimestre 2008","Brasil","Indústrias extrativas","5.6"
"3º trimestre 2008","Brasil","Indústrias de transformação","7.5"
"3º trimestre 2008","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.5"
"3º trimestre 2008","Brasil","Construção","5.4"
"3º trimestre 2008","Brasil","Serviços - total","5.8"
"3º trimestre 2008","Brasil","Comércio","8.2"
"3º trimestre 2008","Brasil","Transporte, armazenagem e correio","10.2"
"3º trimestre 2008","Brasil","Informação e comunicação","10.0"
"3º trimestre 2008","Brasil","Atividades financeiras, de seguros e serviços relacionados","15.4"
"3º trimestre 2008","Brasil","Atividades imobiliárias","1.9"
"3º trimestre 2008","Brasil","Outras atividades de serviços","5.1"
"3º trimestre 2008","Brasil","Administração, saúde e educação públicas e seguridade social","0.4"
"3º trimestre 2008","Brasil","Valor adicionado a preços básicos","6.0"
"3º trimestre 2008","Brasil","Impostos líquidos sobre produtos","9.3"
"3º trimestre 2008","Brasil","PIB a preços de mercado","6.5"
"4º trimestre 2008","Brasil","Agropecuária - total","5.8"
"4º trimestre 2008","Brasil","Indústria - total","4.1"
"4º trimestre 2008","Brasil","Indústrias extrativas","4.1"
"4º trimestre 2008","Brasil","Indústrias de transformação","4.1"
"4º trimestre 2008","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.6"
"4º trimestre 2008","Brasil","Construção","4.9"
"4º trimestre 2008","Brasil","Serviços - total","4.8"
"4º trimestre 2008","Brasil","Comércio","5.3"
"4º trimestre 2008","Brasil","Transporte, armazenagem e correio","7.6"
"4º trimestre 2008","Brasil","Informação e comunicação","9.8"
"4º trimestre 2008","Brasil","Atividades financeiras, de seguros e serviços relacionados","13.2"
"4º trimestre 2008","Brasil","Atividades imobiliárias","1.4"
"4º trimestre 2008","Brasil","Outras atividades de serviços","4.7"
"4º trimestre 2008","Brasil","Administração, saúde e educação públicas e seguridade social","0.6"
"4º trimestre 2008","Brasil","Valor adicionado a preços básicos","4.7"
"4º trimestre 2008","Brasil","Impostos líquidos sobre produtos","7.5"
"4º trimestre 2008","Brasil","PIB a preços de mercado","5.1"
"1º trimestre 2009","Brasil","Agropecuária - total","-1.4"
"1º trimestre 2009","Brasil","Indústria - total","-10.8"
"1º trimestre 2009","Brasil","Indústrias extrativas","-5.6"
"1º trimestre 2009","Brasil","Indústrias de transformação","-16.2"
"1º trimestre 2009","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-2.4"
"1º trimestre 2009","Brasil","Construção","-0.6"
"1º trimestre 2009","Brasil","Serviços - total","1.0"
"1º trimestre 2009","Brasil","Comércio","-7.5"
"1º trimestre 2009","Brasil","Transporte, armazenagem e correio","-7.0"
"1º trimestre 2009","Brasil","Informação e comunicação","2.4"
"1º trimestre 2009","Brasil","Atividades financeiras, de seguros e serviços relacionados","8.6"
"1º trimestre 2009","Brasil","Atividades imobiliárias","1.7"
"1º trimestre 2009","Brasil","Outras atividades de serviços","3.2"
"1º trimestre 2009","Brasil","Administração, saúde e educação públicas e seguridade social","3.1"
"1º trimestre 2009","Brasil","Valor adicionado a preços básicos","-2.3"
"1º trimestre 2009","Brasil","Impostos líquidos sobre produtos","-3.2"
"1º trimestre 2009","Brasil","PIB a preços de mercado","-2.4"
"2º trimestre 2009","Brasil","Agropecuária - total","-3.5"
"2º trimestre 2009","Brasil","Indústria - total","-9.3"
"2º trimestre 2009","Brasil","Indústrias extrativas","-5.1"
"2º trimestre 2009","Brasil","Indústrias de transformação","-14.8"
"2º trimestre 2009","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-0.5"
"2º trimestre 2009","Brasil","Construção","2.2"
"2º trimestre 2009","Brasil","Serviços - total","0.8"
"2º trimestre 2009","Brasil","Comércio","-6.5"
"2º trimestre 2009","Brasil","Transporte, armazenagem e correio","-7.8"
"2º trimestre 2009","Brasil","Informação e comunicação","1.7"
"2º trimestre 2009","Brasil","Atividades financeiras, de seguros e serviços relacionados","8.1"
"2º trimestre 2009","Brasil","Atividades imobiliárias","1.9"
"2º trimestre 2009","Brasil","Outras atividades de serviços","2.4"
"2º trimestre 2009","Brasil","Administração, saúde e educação públicas e seguridade social","3.1"
"2º trimestre 2009","Brasil","Valor adicionado a preços básicos","-2.2"
"2º trimestre 2009","Brasil","Impostos líquidos sobre produtos","-3.2"
"2º trimestre 2009","Brasil","PIB a preços de mercado","-2.3"
"3º trimestre 2009","Brasil","Agropecuária - total","-4.8"
"3º trimestre 2009","Brasil","Indústria - total","-8.1"
"3º trimestre 2009","Brasil","Indústrias extrativas","-4.6"
"3º trimestre 2009","Brasil","Indústrias de transformação","-13.2"
"3º trimestre 2009","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-0.2"
"3º trimestre 2009","Brasil","Construção","3.9"
"3º trimestre 2009","Brasil","Serviços - total","1.0"
"3º trimestre 2009","Brasil","Comércio","-5.5"
"3º trimestre 2009","Brasil","Transporte, armazenagem e correio","-7.0"
"3º trimestre 2009","Brasil","Informação e comunicação","0.9"
"3º trimestre 2009","Brasil","Atividades financeiras, de seguros e serviços relacionados","8.0"
"3º trimestre 2009","Brasil","Atividades imobiliárias","2.1"
"3º trimestre 2009","Brasil","Outras atividades de serviços","2.5"
"3º trimestre 2009","Brasil","Administração, saúde e educação públicas e seguridade social","3.2"
"3º trimestre 2009","Brasil","Valor adicionado a preços básicos","-1.8"
"3º trimestre 2009","Brasil","Impostos líquidos sobre produtos","-2.6"
"3º trimestre 2009","Brasil","PIB a preços de mercado","-1.9"
"4º trimestre 2009","Brasil","Agropecuária - total","-3.7"
"4º trimestre 2009","Brasil","Indústria - total","-4.7"
"4º trimestre 2009","Brasil","Indústrias extrativas","-2.1"
"4º trimestre 2009","Brasil","Indústrias de transformação","-9.3"
"4º trimestre 2009","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","0.7"
"4º trimestre 2009","Brasil","Construção","7.0"
"4º trimestre 2009","Brasil","Serviços - total","2.1"
"4º trimestre 2009","Brasil","Comércio","-2.3"
"4º trimestre 2009","Brasil","Transporte, armazenagem e correio","-4.4"
"4º trimestre 2009","Brasil","Informação e comunicação","0.0"
"4º trimestre 2009","Brasil","Atividades financeiras, de seguros e serviços relacionados","8.8"
"4º trimestre 2009","Brasil","Atividades imobiliárias","3.0"
"4º trimestre 2009","Brasil","Outras atividades de serviços","3.0"
"4º trimestre 2009","Brasil","Administração, saúde e educação públicas e seguridade social","3.4"
"4º trimestre 2009","Brasil","Valor adicionado a preços básicos","-0.1"
"4º trimestre 2009","Brasil","Impostos líquidos sobre produtos","-0.3"
"4º trimestre 2009","Brasil","PIB a preços de mercado","-0.1"
"1º trimestre 2010","Brasil","Agropecuária - total","6.9"
"1º trimestre 2010","Brasil","Indústria - total","15.3"
"1º trimestre 2010","Brasil","Indústrias extrativas","15.4"
"1º trimestre 2010","Brasil","Indústrias de transformação","15.9"
"1º trimestre 2010","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","8.5"
"1º trimestre 2010","Brasil","Construção","19.6"
"1º trimestre 2010","Brasil","Serviços - total","6.2"
"1º trimestre 2010","Brasil","Comércio","15.9"
"1º trimestre 2010","Brasil","Transporte, armazenagem e correio","13.1"
"1º trimestre 2010","Brasil","Informação e comunicação","3.0"
"1º trimestre 2010","Brasil","Atividades financeiras, de seguros e serviços relacionados","8.2"
"1º trimestre 2010","Brasil","Atividades imobiliárias","4.8"
"1º trimestre 2010","Brasil","Outras atividades de serviços","2.7"
