"Mês","Região","Variável","Indústria geral","Indústrias extrativas","Indústrias de transformação"
"dezembro 2013","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","115.54458","113.23698","115.73566"
"dezembro 2013","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-3.5","-1.7","-3.8"
"dezembro 2013","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-2.3","-3.5","-2.2"
"dezembro 2013","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","2.1","-3.6","2.8"
"dezembro 2013","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","2.1","-3.6","2.8"
"janeiro 2014","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","107.91411","111.50309","107.46019"
"janeiro 2014","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","117.56256","113.15302","117.66106"
"janeiro 2014","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.7","-0.1","1.7"
"janeiro 2014","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-2.0","2.1","-2.5"
"janeiro 2014","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-2.0","2.1","-2.5"
"janeiro 2014","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","1.4","-3.6","2.1"
"fevereiro 2014","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","107.54777","100.58812","108.42686"
"fevereiro 2014","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","118.03383","113.11071","118.40439"
"fevereiro 2014","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.4","0.0","0.6"
"fevereiro 2014","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","4.8","1.6","5.2"
"fevereiro 2014","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","1.3","1.9","1.2"
"fevereiro 2014","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","1.9","-2.9","2.5"
"março 2014","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","113.37495","113.02179","113.41917"
"março 2014","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","117.51794","115.39633","117.76929"
"março 2014","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.4","2.0","-0.5"
"março 2014","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-0.4","8.8","-1.5"
"março 2014","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","0.7","4.2","0.3"
"março 2014","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","2.1","-1.5","2.5"
"abril 2014","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","111.89740","111.15067","111.99136"
"abril 2014","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","116.61946","116.35983","116.54606"
"abril 2014","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.8","0.8","-1.0"
"abril 2014","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-5.7","5.9","-7.0"
"abril 2014","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-1.0","4.6","-1.7"
"abril 2014","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","0.8","-0.5","1.0"
"maio 2014","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","118.53030","119.06040","118.46288"
"maio 2014","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","115.45494","116.85184","115.41012"
"maio 2014","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.0","0.4","-1.0"
"maio 2014","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-3.1","7.6","-4.3"
"maio 2014","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-1.5","5.2","-2.2"
"maio 2014","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","0.3","0.8","0.3"
"junho 2014","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","110.61037","117.12345","109.78693"
"junho 2014","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","112.16729","117.39689","111.39533"
"junho 2014","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-2.8","0.5","-3.5"
"junho 2014","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-6.7","4.1","-8.0"
"junho 2014","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-2.4","5.0","-3.2"
"junho 2014","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-0.5","1.5","-0.7"
"julho 2014","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","121.70206","124.39125","121.36179"
"julho 2014","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","114.97360","120.17223","114.44202"
"julho 2014","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","2.5","2.4","2.7"
"julho 2014","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-3.3","6.7","-4.5"
"julho 2014","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-2.5","5.3","-3.4"
"julho 2014","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-1.1","2.3","-1.5"
"agosto 2014","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","123.92138","128.45124","123.34850"
"agosto 2014","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","115.38494","123.19700","114.51242"
"agosto 2014","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.4","2.5","0.1"
"agosto 2014","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-5.1","8.8","-6.7"
"agosto 2014","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-2.9","5.8","-3.9"
"agosto 2014","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-1.6","3.3","-2.2"
"setembro 2014","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","123.07107","124.82072","122.84953"
"setembro 2014","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","115.62003","123.11203","114.84878"
"setembro 2014","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.2","-0.1","0.3"
"setembro 2014","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-1.6","10.8","-3.0"
"setembro 2014","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-2.7","6.4","-3.8"
"setembro 2014","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-2.0","4.2","-2.8"
"outubro 2014","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","127.32526","130.02775","126.98330"
"outubro 2014","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","115.77547","126.15518","115.26717"
"outubro 2014","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.1","2.5","0.4"
"outubro 2014","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-2.9","7.9","-4.2"
"outubro 2014","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-2.7","6.5","-3.8"
"outubro 2014","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-2.4","5.3","-3.3"
"novembro 2014","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","116.28840","122.42012","115.51312"
"novembro 2014","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","114.69981","122.23163","113.50367"
"novembro 2014","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.9","-3.1","-1.5"
"novembro 2014","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-6.0","5.4","-7.3"
"novembro 2014","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-3.0","6.4","-4.1"
"novembro 2014","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-3.0","5.5","-4.0"
"dezembro 2014","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","102.21340","128.17597","98.93218"
"dezembro 2014","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","111.57904","124.20709","109.64876"
"dezembro 2014","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-2.7","1.6","-3.4"
"dezembro 2014","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-2.6","10.7","-4.5"
"dezembro 2014","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-3.0","6.8","-4.2"
"dezembro 2014","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-3.0","6.8","-4.2"
"janeiro 2015","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","102.66304","124.45172","99.90927"
"janeiro 2015","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","112.06887","125.10305","110.24134"
"janeiro 2015","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.4","0.7","0.5"
"janeiro 2015","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-4.9","11.6","-7.0"
"janeiro 2015","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-4.9","11.6","-7.0"
"janeiro 2015","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-3.2","7.6","-4.5"
"fevereiro 2015","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","97.57125","113.71990","95.53022"
"fevereiro 2015","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","111.02564","126.57663","109.03809"
"fevereiro 2015","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.9","1.2","-1.1"
"fevereiro 2015","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-9.3","13.1","-11.9"
"fevereiro 2015","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-7.1","12.3","-9.5"
"fevereiro 2015","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-4.3","8.4","-5.8"
"março 2015","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","109.92777","124.76847","108.05198"
"março 2015","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","110.67582","128.78556","108.21076"
"março 2015","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.3","1.7","-0.8"
"março 2015","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-3.0","10.4","-4.7"
"março 2015","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-5.7","11.6","-7.8"
"março 2015","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-4.5","8.6","-6.0"
"abril 2015","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","103.51269","124.04402","100.91781"
"abril 2015","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","108.53062","128.88482","105.91985"
"abril 2015","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.9","0.1","-2.1"
"abril 2015","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-7.5","11.6","-9.9"
"abril 2015","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-6.1","11.6","-8.4"
"abril 2015","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-4.6","9.0","-6.2"
"maio 2015","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","108.44442","128.08446","105.96215"
"maio 2015","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","107.28888","127.03017","104.72467"
"maio 2015","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.1","-1.4","-1.1"
"maio 2015","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-8.5","7.6","-10.6"
"maio 2015","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-6.6","10.8","-8.8"
"maio 2015","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-5.1","9.0","-6.8"
"junho 2015","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","107.78466","127.16843","105.33477"
"junho 2015","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","106.47469","126.94032","103.92343"
"junho 2015","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.8","-0.1","-0.8"
"junho 2015","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-2.6","8.6","-4.1"
"junho 2015","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-6.0","10.4","-8.0"
"junho 2015","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-4.7","9.4","-6.5"
"julho 2015","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","111.24612","128.96010","109.00724"
"julho 2015","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","104.59190","124.67295","102.03675"
"julho 2015","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.8","-1.8","-1.8"
"julho 2015","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-8.6","3.7","-10.2"
"julho 2015","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-6.4","9.3","-8.4"
"julho 2015","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-5.2","9.1","-7.0"
"agosto 2015","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","113.73341","133.23689","111.26838"
"agosto 2015","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","105.02431","127.12722","102.40322"
"agosto 2015","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.4","2.0","0.4"
"agosto 2015","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-8.2","3.7","-9.8"
"agosto 2015","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-6.6","8.6","-8.6"
"agosto 2015","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-5.5","8.6","-7.2"
"setembro 2015","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","109.91113","128.31230","107.58540"
"setembro 2015","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","102.66098","126.77908","99.81948"
"setembro 2015","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-2.3","-0.3","-2.5"
"setembro 2015","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-10.7","2.8","-12.4"
"setembro 2015","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-7.1","7.9","-9.0"
"setembro 2015","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-6.3","7.9","-8.1"
"outubro 2015","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","113.31974","129.21393","111.31081"
"outubro 2015","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","102.50958","124.34070","100.57377"
"outubro 2015","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.1","-1.9","0.8"
"outubro 2015","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-11.0","-0.6","-12.3"
"outubro 2015","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-7.5","6.9","-9.4"
"outubro 2015","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-7.0","7.1","-8.8"
"novembro 2015","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","102.02329","110.34308","100.97156"
"novembro 2015","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","100.71219","110.47625","99.12773"
"novembro 2015","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.8","-11.2","-1.4"
"novembro 2015","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-12.3","-9.9","-12.6"
"novembro 2015","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-8.0","5.4","-9.7"
"novembro 2015","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-7.6","5.8","-9.3"
"dezembro 2015","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","89.97213","113.85183","86.95417"
"dezembro 2015","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","99.25490","110.35906","97.62298"
"dezembro 2015","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.4","-0.1","-1.5"
"dezembro 2015","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-12.0","-11.2","-12.1"
"dezembro 2015","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-8.3","3.9","-9.8"
"dezembro 2015","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-8.3","3.9","-9.8"
"janeiro 2016","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","88.87564","103.76011","86.99451"
"janeiro 2016","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","100.05188","105.00117","99.04190"
"janeiro 2016","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.8","-4.9","1.5"
"janeiro 2016","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-13.4","-16.6","-12.9"
"janeiro 2016","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-13.4","-16.6","-12.9"
"janeiro 2016","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-8.9","1.5","-10.3"
"fevereiro 2016","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","88.35558","100.85846","86.77544"
"fevereiro 2016","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","98.99757","108.31169","97.46621"
"fevereiro 2016","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.1","3.2","-1.6"
"fevereiro 2016","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-9.4","-11.3","-9.2"
"fevereiro 2016","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-11.5","-14.1","-11.1"
"fevereiro 2016","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-8.9","-0.3","-10.1"
"março 2016","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","97.51803","104.83632","96.59313"
"março 2016","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","99.57519","108.64696","98.32266"
"março 2016","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.6","0.3","0.9"
"março 2016","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-11.3","-16.0","-10.6"
"março 2016","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-11.4","-14.7","-10.9"
"março 2016","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-9.6","-2.4","-10.6"
"abril 2016","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","96.72772","104.83943","95.70255"
"abril 2016","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","99.60379","110.07057","98.29661"
"abril 2016","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.0","1.3","0.0"
"abril 2016","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-6.6","-15.5","-5.2"
"abril 2016","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-10.2","-14.9","-9.5"
"abril 2016","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-9.5","-4.6","-10.2"
"maio 2016","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","100.51023","113.70503","98.84264"
"maio 2016","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","99.99013","112.93849","98.25867"
"maio 2016","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.4","2.6","0.0"
"maio 2016","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-7.3","-11.2","-6.7"
"maio 2016","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-9.6","-14.2","-8.9"
"maio 2016","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-9.4","-6.1","-9.9"
"junho 2016","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","102.14944","111.44074","100.97518"
"junho 2016","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","98.64414","111.42723","97.08242"
"junho 2016","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.3","-1.3","-1.2"
"junho 2016","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-5.2","-12.4","-4.1"
"junho 2016","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-8.9","-13.8","-8.1"
"junho 2016","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-9.7","-7.8","-9.9"
"julho 2016","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","104.43092","117.07733","102.83264"
"julho 2016","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","99.32378","113.50737","97.51859"
"julho 2016","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.7","1.9","0.4"
"julho 2016","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-6.1","-9.2","-5.7"
"julho 2016","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-8.4","-13.2","-7.7"
"julho 2016","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-9.5","-8.9","-9.6"
"agosto 2016","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","108.37187","117.89722","107.16804"
"agosto 2016","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","97.50482","111.74088","95.64643"
"agosto 2016","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.8","-1.6","-1.9"
"agosto 2016","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-4.7","-11.5","-3.7"
"agosto 2016","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-7.9","-12.9","-7.2"
"agosto 2016","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-9.2","-10.2","-9.0"
"setembro 2016","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","105.65274","116.34943","104.30087"
"setembro 2016","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","98.51901","114.17173","96.92887"
"setembro 2016","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.0","2.2","1.3"
"setembro 2016","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-3.9","-9.3","-3.1"
"setembro 2016","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-7.5","-12.5","-6.7"
"setembro 2016","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-8.6","-11.2","-8.2"
"outubro 2016","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","105.07812","117.97489","103.44821"
"outubro 2016","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","97.15462","112.84618","95.58986"
"outubro 2016","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.4","-1.2","-1.4"
"outubro 2016","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-7.3","-8.7","-7.1"
"outubro 2016","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-7.5","-12.1","-6.8"
"outubro 2016","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-8.2","-11.9","-7.7"
"novembro 2016","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","100.76965","115.22493","98.94276"
"novembro 2016","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","98.11268","115.30482","95.73856"
"novembro 2016","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.0","2.2","0.2"
"novembro 2016","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-1.2","4.4","-2.0"
"novembro 2016","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-6.9","-10.8","-6.3"
"novembro 2016","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","-7.3","-10.8","-6.8"
"dezembro 2016","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","90.00232","122.00640","85.95758"
"dezembro 2016","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","99.74104","117.54416","97.50535"
