"Mês","Região","Variável","Indústria geral","Indústrias extrativas","Indústrias de transformação"
"março 2003","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.2","-0.5","-0.1"
"março 2003","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","0.0","6.1","-0.3"
"março 2003","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","1.7","7.9","1.3"
"março 2003","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"abril 2003","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","89.17615","80.03548","89.78428"
"abril 2003","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","92.30488","81.44036","92.98008"
"abril 2003","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.1","-0.5","-0.4"
"abril 2003","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-3.9","3.9","-4.3"
"abril 2003","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","0.2","6.8","-0.2"
"abril 2003","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"maio 2003","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","92.85332","84.70589","93.40012"
"maio 2003","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","90.93119","81.29459","91.55443"
"maio 2003","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.5","-0.2","-1.5"
"maio 2003","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-1.0","7.2","-1.4"
"maio 2003","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","0.0","6.9","-0.4"
"maio 2003","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"junho 2003","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","88.90555","76.78432","89.70153"
"junho 2003","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","91.43600","76.72247","92.31042"
"junho 2003","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.6","-5.6","0.8"
"junho 2003","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-1.6","-2.5","-1.5"
"junho 2003","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-0.3","5.3","-0.6"
"junho 2003","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"julho 2003","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","94.79223","81.74418","95.64875"
"julho 2003","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","90.64338","79.47827","91.34971"
"julho 2003","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-0.9","3.6","-1.0"
"julho 2003","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-2.3","0.2","-2.4"
"julho 2003","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-0.6","4.5","-0.9"
"julho 2003","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"agosto 2003","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","95.13301","84.92759","95.81040"
"agosto 2003","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","91.78902","81.83109","92.51484"
"agosto 2003","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.3","3.0","1.3"
"agosto 2003","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","-2.3","3.5","-2.6"
"agosto 2003","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-0.8","4.4","-1.1"
"agosto 2003","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"setembro 2003","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","99.81096","82.20294","100.95681"
"setembro 2003","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","94.60029","81.68913","95.38751"
"setembro 2003","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","3.1","-0.2","3.1"
"setembro 2003","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","4.3","5.8","4.2"
"setembro 2003","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-0.2","4.5","-0.5"
"setembro 2003","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"outubro 2003","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","104.87061","84.56642","106.18827"
"outubro 2003","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","95.00285","81.37794","95.80307"
"outubro 2003","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.4","-0.4","0.4"
"outubro 2003","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","0.9","3.4","0.8"
